Year-Month,num_trips_residue,trend_poly
2017-01,550.87,0.0
2017-02,644.32,0.0
2017-03,689.13,0.0
2017-04,1080.33,0.0
2017-05,1753.87,0.0
2017-06,2532.4,0.0
2017-07,3218.13,0.0
2017-08,3163.97,0.0
2017-09,2222.47,0.0
2017-10,1447.97,0.0
2017-11,821.1,0.0
2017-12,658.94,0.0
2018-01,279.79,378.09
2018-02,374.31,420.83
2018-03,728.54,458.5
2018-04,930.61,491.29
2018-05,2335.75,519.44
2018-06,2371.67,543.16
2018-07,3128.39,562.68
2018-08,3002.79,578.21
2018-09,1993.0,589.97
2018-10,1508.27,598.19
2018-11,705.26,603.08
2018-12,284.59,604.86
2019-01,581.92,603.76
2019-02,332.05,599.99
2019-03,1259.84,593.77
2019-04,1361.54,585.33
2019-05,2471.32,574.88
2019-06,3060.09,562.64
2019-07,3605.03,548.84
2019-08,3869.95,533.69
2019-09,2559.38,517.42
2019-10,1646.96,500.23
2019-11,1301.5,482.37
2019-12,576.77,464.03
2020-01,364.84,445.45
2020-02,988.16,426.84
2020-03,768.67,408.43
2020-04,633.5,390.43
2020-05,1199.39,373.06
2020-06,1584.81,356.55
2020-07,2241.82,341.11
2020-08,2510.03,326.97
2020-09,1866.73,314.34
2020-10,1242.27,303.44
2020-11,651.91,294.49
2020-12,424.05,287.72
2021-01,514.59,283.34
2021-02,625.28,281.58
2021-03,902.12,282.65
2021-04,1408.49,286.77
2021-05,1786.99,294.17
2021-06,2294.51,305.06
2021-07,3535.56,319.67
2021-08,3555.89,338.2
2021-09,2332.17,360.9
2021-10,1253.68,387.96
2021-11,624.11,419.62
2021-12,264.36,456.09
2022-01,208.59,497.6
2022-02,669.1,544.36
2022-03,828.08,596.6
2022-04,1144.74,654.52
2022-05,1754.12,718.36
2022-06,2712.83,788.34
2022-07,3784.1,864.67
2022-08,4359.43,947.57
2022-09,3461.13,1037.27
2022-10,2429.89,1133.98
2022-11,736.81,1237.92
2022-12,-405.1,1349.32
2023-01,81.83,1468.39
2023-02,40.21,1595.36
2023-03,608.69,1730.44
2023-04,624.38,1873.85
